,Price,Open,High,Low
2016-05-10,29785.0,29851.0,29862.0,29622.0
2016-05-11,29933.0,29825.0,30072.0,29825.0
2016-05-12,29904.0,29933.0,30085.0,29765.0
2016-05-13,30023.0,29900.0,30058.0,29766.0
2016-05-14,,,,
2016-05-15,,,,
2016-05-16,29963.0,30075.0,30245.0,29915.0
2016-05-17,30045.0,30040.0,30130.0,29860.0
2016-05-18,30049.0,30024.0,30078.0,29910.0
2016-05-19,29800.0,29995.0,29995.0,29632.0
2016-05-20,29693.0,29730.0,29867.0,29661.0
2016-05-21,,,,
2016-05-22,,,,
2016-05-23,29682.0,29694.0,29745.0,29576.0
2016-05-24,29306.0,29580.0,29651.0,29283.0
2016-05-25,28945.0,29278.0,29278.0,28884.0
2016-05-26,28729.0,28996.0,29157.0,28705.0
2016-05-27,28590.0,28840.0,28840.0,28547.0
2016-05-28,,,,
2016-05-29,,,,
2016-05-30,28590.0,28430.0,28696.0,28400.0
2016-05-31,28610.0,28596.0,28719.0,28541.0
2016-06-01,28626.0,28531.0,28800.0,28500.0
2016-06-02,28554.0,28616.0,28715.0,28530.0
2016-06-03,29216.0,28703.0,29410.0,28540.0
2016-06-04,,,,
2016-06-05,,,,
2016-06-06,29329.0,29287.0,29376.0,29220.0
2016-06-07,29239.0,29243.0,29325.0,29062.0
2016-06-08,29491.0,29275.0,29572.0,29275.0
2016-06-09,29757.0,29521.0,29777.0,29452.0
2016-06-10,29851.0,29760.0,29900.0,29624.0
2016-06-11,,,,
2016-06-12,,,,
2016-06-13,30181.0,29894.0,30220.0,29894.0
2016-06-14,30357.0,30141.0,30385.0,30042.0
2016-06-15,30262.0,30300.0,30339.0,30132.0
2016-06-16,30392.0,30302.0,30985.0,30237.0
2016-06-17,30373.0,30320.0,30415.0,30091.0
2016-06-18,,,,
2016-06-19,,,,
2016-06-20,30478.0,30262.0,30505.0,30132.0
2016-06-21,30072.0,30357.0,30402.0,30026.0
2016-06-22,29898.0,30054.0,30054.0,29835.0
2016-06-23,29686.0,29879.0,29953.0,29641.0
2016-06-24,31131.0,29835.0,32357.0,29835.0
2016-06-25,,,,
2016-06-26,,,,
2016-06-27,31218.0,31192.0,31387.0,31135.0
2016-06-28,30999.0,31016.0,31085.0,30859.0
2016-06-29,30986.0,31096.0,31146.0,30920.0
2016-06-30,30851.0,30905.0,30949.0,30812.0
2016-07-01,31077.0,31096.0,31220.0,31010.0
2016-07-02,,,,
2016-07-03,,,,
2016-07-04,31396.0,31390.0,31484.0,31267.0
2016-07-05,30841.0,31306.0,31570.0,30500.0
2016-07-06,32018.0,31948.0,32350.0,31948.0
2016-07-07,31817.0,32011.0,32090.0,31653.0
2016-07-08,31657.0,31832.0,31833.0,31284.0
2016-07-09,,,,
2016-07-10,,,,
2016-07-11,31524.0,31750.0,31888.0,31482.0
2016-07-12,31001.0,31561.0,31577.0,30951.0
